Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
21004,1260.24,1260.24,0.159542355,0.993072582,1.274176321
21005,1260.3,1260.3,0.170451135,0.990294434,1.237737557
21006,1260.36,1260.36,0.179030988,0.990412914,1.220915584
21007,1260.42,1260.42,0.186857918,0.988004846,1.208228164
21008,1260.48,1260.48,0.195672514,0.98742021,1.19560444
21009,1260.54,1260.54,0.206440486,0.987073818,1.179110587
21010,1260.6,1260.6,0.215950465,0.988658574,1.164691862
21011,1260.66,1260.66,0.221790096,0.991802002,1.156994234
21012,1260.72,1260.72,0.215152783,0.990182652,1.156128242
21013,1260.78,1260.78,0.2010842,0.988977993,1.178988604
21014,1260.84,1260.84,0.186724541,0.991764304,1.191724949
21015,1260.9,1260.9,0.174175855,0.992844385,1.21035613
21016,1260.96,1260.96,0.166385503,0.991787665,1.222808038
21017,1261.02,1261.02,0.160310733,0.990997428,1.226847536
21018,1261.08,1261.08,0.156040205,0.990422564,1.236049792
21019,1261.14,1261.14,0.155065607,0.993272801,1.244493635
21020,1261.2,1261.2,0.153951733,0.991657874,1.234038209
21021,1261.26,1261.26,0.154879253,0.992626495,1.225743743
21022,1261.32,1261.32,0.156682628,0.992102435,1.218895018
21023,1261.38,1261.38,0.159357619,0.991320331,1.206692334
21024,1261.44,1261.44,0.162772311,0.989199659,1.200268577
21025,1261.5,1261.5,0.16807496,0.990833896,1.181458459
21026,1261.56,1261.56,0.174599944,0.990219567,1.163480405
21027,1261.62,1261.62,0.18012599,0.990832991,1.151821045
21028,1261.68,1261.68,0.18358634,0.990537842,1.143686782
21029,1261.74,1261.74,0.183971551,0.991731034,1.137645392
21030,1261.8,1261.8,0.179343081,0.9940665,1.145070917
21031,1261.86,1261.86,0.17507454,0.993948556,1.152682543
21032,1261.92,1261.92,0.1711068,0.993558295,1.1472404
21033,1261.98,1261.98,0.169178571,0.994374996,1.138831665
21034,1262.04,1262.04,0.168979344,0.994475284,1.142054852
21035,1262.1,1262.1,0.17188735,0.995000418,1.135754582
